,Fecha,Costo_Directo,Costo_Indirecto,Peso_Promedio,Incremento,Incremento semanal(promedio),Sobrevivencia,Biomasa,Biomasa_Hectarea,Balanceado,Balanceado hectárea,Balanceado_Costo,Conversión_alimenticia,Comentario,FCA
29,2023-07-28,328.14,67.14,11.842857142857142,0.4285714285714288,,92.00,18546.34369829760000000000000,3091.06,660.0,110.00,328.14,,,55.729794933655015
30,2023-07-29,328.14,269.11,12.27142857142857,0.4285714285714288,,92.00,18546.34369829760000000000000,3091.06,660.0,110.00,328.14,,,53.783469150174625
31,2023-07-30,328.14,481.34,12.7,0.4285714285714288,3.0,92.00,18546.34369829760000000000000,3091.06,660.0,110.00,328.14,0.69,,51.968503937007874
32,2023-07-31,109.38,921.56,13.128571428571428,0.4285714285714288,,92.00,22927.36976876160000000000000,3821.23,220.0,36.67,109.38,,,16.75734494015234
33,2023-08-01,310.91,98.95,13.557142857142857,0.4285714285714288,,92.00,22927.36976876160000000000000,3821.23,649.0,108.17,310.91,,,47.871443624868284
34,2023-08-02,307.99,112.29,13.985714285714284,0.42857142857142705,,92.00,22927.36976876160000000000000,3821.23,660.0,110.00,307.99,,,47.19101123595506
35,2023-08-03,333.66,60.39,14.414285714285713,0.4285714285714288,,92.00,22927.36976876160000000000000,3821.23,715.0,119.17,333.66,,,49.60356788899902
36,2023-08-04,333.66,81.01,14.842857142857142,0.4285714285714288,,92.00,22927.36976876160000000000000,3821.23,715.0,119.17,333.66,,,48.17131857555342
37,2023-08-05,333.66,61.22,15.27142857142857,0.4285714285714288,,92.00,22927.36976876160000000000000,3821.23,715.0,119.17,333.66,,,46.81945743685688
38,2023-08-06,307.99,65.58,15.7,0.4285714285714288,3.0,92.00,22927.36976876160000000000000,3821.23,660.0,110.00,307.99,0.75,,42.038216560509554
39,2023-08-07,307.99,94.53,15.957142857142857,0.257142857142858,,89.50,24861.52928574000000000000000,4143.59,660.0,110.00,307.99,,,41.36078782452999
40,2023-08-08,307.99,171.36,16.214285714285715,0.257142857142858,,89.50,24861.52928574000000000000000,4143.59,660.0,110.00,307.99,,,40.70484581497797
41,2023-08-09,307.99,89.53,16.47142857142857,0.25714285714285623,,89.50,24861.52928574000000000000000,4143.59,660.0,110.00,307.99,,,40.06938421509107
42,2023-08-10,307.99,323.53,16.728571428571428,0.25714285714285623,,89.50,24861.52928574000000000000000,4143.59,660.0,110.00,307.99,,,39.4534585824082
43,2023-08-11,307.99,71.97,16.985714285714284,0.25714285714285623,,89.50,24861.52928574000000000000000,4143.59,660.0,110.00,307.99,,,38.856181665264934
44,2023-08-12,307.99,65.58,17.242857142857144,0.2571428571428598,,89.50,24861.52928574000000000000000,4143.59,660.0,110.00,307.99,,,38.27671913835957
45,2023-08-13,307.99,62.94,17.5,0.25714285714285623,1.8000000000000007,89.50,24861.52928574000000000000000,4143.59,660.0,110.00,307.99,0.88,,37.714285714285715
46,2023-08-14,359.33,139.45,17.745714285714286,0.24571428571428555,,92.00,28067.77369143936000000000000,4677.96,770.0,128.33,359.33,,,43.39075833199163
47,2023-08-15,439.81,77.02,17.99142857142857,0.24571428571428555,,92.00,28067.77369143936000000000000,4677.96,847.0,141.17,439.81,,,47.07797363824043
48,2023-08-16,359.33,91.58,18.237142857142857,0.24571428571428555,,92.00,28067.77369143936000000000000,4677.96,770.0,128.33,359.33,,,42.221525928246905
