,Fecha,Peso_Promedio,Sobrevivencia,Balanceado,Biomasa,Biomasa_Hectarea,FCA,Kg/Has,Incremento,IPS
39,2023-04-14,19.5,89.92857142857143,225,29468.67279804404,7367.164285714286,11.538461538461538,56.25,0.5,17.974285714285713
40,2023-04-15,20.0,89.71428571428571,225,30159.88435661323,7539.967142857144,11.25,56.25,0.5,18.5
41,2023-04-16,20.5,89.5,225,30851.09591518242,7712.77,10.975609756097562,56.25,0.5,19.0
42,2023-04-17,21.1,89.2,175,31635.509935862763,7908.874000000001,8.293838862559241,43.75,0.6000000000000014,19.514285714285716
43,2023-04-18,21.7,88.9,250,32419.92395654311,8104.978000000001,11.520737327188941,62.5,0.5999999999999979,20.042857142857144
44,2023-04-19,22.3,88.6,250,33204.337977223455,8301.082,11.210762331838565,62.5,0.6000000000000014,20.58571428571429
45,2023-04-22,22.9,88.3,200,33988.7519979038,8497.186000000002,8.733624454148472,50.0,0.5999999999999979,21.142857142857142
46,2023-04-23,23.5,88.0,200,34773.16601858414,8693.29,8.51063829787234,50.0,0.6000000000000014,21.714285714285715
47,2023-04-24,23.914285714285715,87.78571428571429,200,35291.0642358822,8822.764285714287,8.363201911589009,50.0,0.4142857142857146,22.273469387755103
48,2023-04-25,24.32857142857143,87.57142857142857,200,35808.96245318026,8952.238571428572,8.220786846741046,50.0,0.4142857142857146,22.82040816326531
49,2023-04-26,24.742857142857144,87.35714285714286,200,36326.86067047832,9081.712857142858,8.083140877598153,50.0,0.4142857142857146,23.340816326530614
50,2023-04-27,25.157142857142855,87.14285714285714,200,36844.758887776385,9211.187142857143,7.950028392958547,50.0,0.41428571428571104,23.834693877551018
51,2023-04-28,25.57142857142857,86.92857142857143,200,37362.657105074446,9340.66142857143,7.82122905027933,50.0,0.4142857142857146,24.30204081632653
52,2023-04-29,25.985714285714284,86.71428571428571,200,37880.55532237251,9470.135714285716,7.696536558548654,50.0,0.4142857142857146,24.74285714285714
53,2023-04-30,26.4,86.5,200,38398.45353967057,9599.61,7.575757575757576,50.0,0.4142857142857146,25.157142857142855
54,2023-05-01,27.119999999999997,86.2,200,39294.35019608748,9823.584,7.374631268436579,50.0,0.7199999999999989,25.61510204081633
55,2023-05-02,27.84,85.9,200,40190.24685250438,10047.558,7.183908045977011,50.0,0.7200000000000024,26.11673469387755
56,2023-05-03,28.56,85.6,200,41086.14350892129,10271.532,7.002801120448179,50.0,0.7199999999999989,26.66204081632653
57,2023-05-06,29.28,85.3,100,41982.04016533819,10495.506,3.4153005464480874,25.0,0.7200000000000024,27.251020408163267
58,2023-05-07,30.0,85.0,100,42877.9368217551,10719.48,3.3333333333333335,25.0,0.7199999999999989,27.883673469387755
59,2023-05-08,30.214285714285715,84.78571428571429,100,43070.70737805459,10767.672857142858,3.309692671394799,25.0,0.2142857142857153,28.487755102040815
60,2023-05-09,30.428571428571427,84.57142857142857,100,43263.47793435407,10815.865714285714,3.286384976525822,25.0,0.21428571428571175,29.06326530612245
61,2023-05-10,30.642857142857142,84.35714285714286,100,43456.24849065356,10864.058571428572,3.2634032634032635,25.0,0.2142857142857153,29.566530612244897
62,2023-05-11,30.857142857142858,84.14285714285714,100,43649.01904695305,10912.251428571428,3.2407407407407405,25.0,0.2142857142857153,29.997551020408164
63,2023-05-12,31.071428571428573,83.92857142857143,100,43841.78960325254,10960.444285714286,3.2183908045977008,25.0,0.2142857142857153,30.356326530612243
64,2023-05-13,31.285714285714285,83.71428571428571,100,44034.56015955202,11008.637142857142,3.1963470319634704,25.0,0.21428571428571175,30.642857142857142
65,2023-05-14,31.5,83.5,75,44227.33071585151,11056.83,2.380952380952381,18.75,0.2142857142857153,30.857142857142858
66,2023-05-15,31.5,83.5,100,44227.33071585151,11056.83,3.1746031746031744,25.0,0.0,31.04081632653061
67,2023-05-17,31.5,83.5,100,44227.33071585151,11056.83,3.1746031746031744,25.0,0.0,31.19387755102041
